College,Credential_level, Totals 
All,AAS Degree,"$23,712 "
All,Across All Credentials,"$27,577 "
All,Associate Degree,"$26,121 "
All,Certificate,"$29,315 "
All,Non-credit Certificate,"$32,925 "
All,Not Specified,"$24,355 "
Allegany Community College,AAS Degree,"$29,709 "
Allegany Community College,Across All Credentials,"$29,709 "
Allegany Community College,Associate Degree [No Data], N/A 
Allegany Community College,Certificate [No Data], N/A 
Baltimore City Community College,Across All Credentials,"$32,925 "
Baltimore City Community College,Non-credit Certificate,"$32,925 "
Carroll Community College,AAS Degree,"$4,717 "
Carroll Community College,Across All Credentials,"$31,633 "
Carroll Community College,Associate Degree,"$31,289 "
Carroll Community College,Certificate,"$25,523 "
Carroll Community College,Non-credit Certificate,"$33,438 "
Carroll Community College,Not Specified,"$34,754 "
College of Southern Maryland,AAS Degree [No Data], N/A 
College of Southern Maryland,Across All Credentials,"$15,831 "
College of Southern Maryland,Associate Degree,"$10,019 "
College of Southern Maryland,Certificate,"$21,642 "
College of Southern Maryland,Non-credit Certificate [No Data], N/A 
College of Southern Maryland,Not Specified [No Data], N/A 
Community College of Baltimore County,AAS Degree,"$29,420 "
Community College of Baltimore County,Across All Credentials,"$25,389 "
Community College of Baltimore County,Associate Degree,"$5,905 "
Community College of Baltimore County,Certificate,"$27,530 "
Community College of Baltimore County,Non-credit Certificate [No Data], N/A 
Frederick Community College,AAS Degree,"$25,046 "
Frederick Community College,Across All Credentials,"$25,279 "
Frederick Community College,Associate Degree,"$11,663 "
Frederick Community College,Certificate,"$28,473 "
Garrett College,AAS Degree,"$12,830 "
Garrett College,Across All Credentials,"$13,467 "
Garrett College,Associate Degree [No Data], N/A 
Garrett College,Certificate,"$27,950 "
Garrett College,Non-credit Certificate [No Data], N/A 
Hagerstown Community College,AAS Degree,"$21,185 "
Hagerstown Community College,Across All Credentials,"$24,568 "
Hagerstown Community College,Associate Degree,"$26,121 "
Hagerstown Community College,Certificate,"$15,215 "
Hagerstown Community College,Not Specified [No Data], N/A 
Harford Community College,Across All Credentials,"$31,316 "
Harford Community College,Associate Degree,"$23,935 "
Harford Community College,Certificate,"$31,316 "
Harford Community College,Not Specified [No Data], N/A 
Howard Community College,AAS Degree,"$30,720 "
Howard Community College,Across All Credentials,"$26,425 "
Howard Community College,Associate Degree,"$24,672 "
Howard Community College,Certificate,"$54,612 "
Howard Community College,Non-credit Certificate [No Data], N/A 
Howard Community College,Not Specified,"$44,148 "
Montgomery College,AAS Degree,"$40,034 "
Montgomery College,Across All Credentials,"$40,034 "
Montgomery College,Associate Degree,"$38,784 "
Montgomery College,Certificate,"$40,268 "
Montgomery College,Not Specified,"$79,469 "
Prince George's Community College,Across All Credentials,"$31,791 "
Prince George's Community College,Non-credit Certificate,"$31,791 "
Wor-Wic Community College,AAS Degree,"$37,518 "
Wor-Wic Community College,Across All Credentials,"$24,391 "
Wor-Wic Community College,Associate Degree,"$24,954 "
Wor-Wic Community College,Certificate,"$27,079 "
Wor-Wic Community College,Not Specified,"$21,960 "
